ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
22054719,中古マンション等,,22101,静岡県,静岡市葵区,東町,静岡,14,４ＬＤＫ,95,,,,平成22年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2011年第１四半期,未改装,,7.643452676486188
22084864,中古マンション等,,22131,静岡県,浜松市中区,上島,上島,8,２ＬＤＫ,60,,,,平成6年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第２四半期,改装済,,7.113943352306837
22117974,中古マンション等,,22203,静岡県,沼津市,本,沼津,15,３ＬＤＫ,70,,,,平成16年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2008年第２四半期,未改装,,7.3222192947339195
22018220,中古マンション等,,22135,静岡県,浜松市北区,三ヶ日町大崎,都筑,30分?60分,２ＬＤＫ,80,,,,平成2年,ＳＲＣ,住宅,住宅,,,,市街化調整区域,60.0,200.0,2015年第４四半期,未改装,,6.230448921378274
22069098,中古マンション等,,22131,静岡県,浜松市中区,鴨江,浜松,30分?60分,１Ｋ,20,,,,昭和59年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2012年第４四半期,,,6.477121254719663
22089505,中古マンション等,,22203,静岡県,沼津市,新沢田町,沼津,30分?60分,３ＬＤＫ,70,,,,平成19年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第４四半期,未改装,,7.230448921378274
22001190,中古マンション等,,22101,静岡県,静岡市葵区,呉服町,静岡,11,３ＬＤＫ,75,,,,平成26年,,住宅,住宅,,,,商業地域,80.0,600.0,2019年第４四半期,未改装,,7.792391689498254
22086495,中古マンション等,,22131,静岡県,浜松市中区,田町,浜松,7,２ＬＤＫ,115,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2009年第４四半期,改装済,,7.698970004336019
22031779,中古マンション等,,22210,静岡県,富士市,蓼原,富士,28,３ＬＤＫ,70,,,,,ＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2015年第２四半期,改装済,,7.3222192947339195
22023918,中古マンション等,,22206,静岡県,三島市,一番町,三島,4,３ＬＤＫ,65,,,,,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第１四半期,未改装,,7.3222192947339195
22075225,中古マンション等,,22211,静岡県,磐田市,東新町,磐田,30分?60分,３ＬＤＫ,60,,,,平成8年,ＳＲＣ,住宅,住宅,,,,市街化調整区域,60.0,200.0,2014年第２四半期,未改装,調停・競売等,6.6020599913279625
22008822,中古マンション等,,22131,静岡県,浜松市中区,葵西,浜松,1H30?2H,３ＬＤＫ,65,,,,平成5年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第１四半期,未改装,,6.903089986991944
22009826,中古マンション等,,22131,静岡県,浜松市中区,佐鳴台,浜松,30分?60分,１Ｋ,15,,,,昭和64年,ＲＣ,,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2019年第３四半期,未改装,,5.903089986991944
22022484,中古マンション等,,22203,静岡県,沼津市,西浦平沢,沼津,2H?,３ＬＤＫ,95,,,,,ＲＣ,,住宅,,,,市街化調整区域,60.0,200.0,2018年第３四半期,改装済,,6.991226075692495
22037759,中古マンション等,,22212,静岡県,焼津市,本町,焼津,7,３ＬＤＫ,65,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第１四半期,,,7.079181246047625
22004848,中古マンション等,,22102,静岡県,静岡市駿河区,中田,静岡,24,３ＬＤＫ,75,,,,平成15年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2016年第１四半期,未改装,,7.278753600952829
22066842,中古マンション等,,22103,静岡県,静岡市清水区,草薙,清水(静岡),4,３ＬＤＫ,80,,,,昭和64年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2012年第４四半期,改装済,,7.342422680822207
22018375,中古マンション等,,22135,静岡県,浜松市北区,三ヶ日町都筑,都筑,24,１ＬＤＫ,80,,,,平成2年,ＳＲＣ,住宅,住宅,,,,市街化調整区域,60.0,200.0,2019年第２四半期,改装済,,7.301029995663981
22018469,中古マンション等,,22135,静岡県,浜松市北区,三ヶ日町都筑,東都筑,26,１ＤＫ,40,,,,昭和59年,ＲＣ,,住宅,,,,市街化調整区域,60.0,200.0,2019年第３四半期,改装済,,6.4623979978989565
22058089,中古マンション等,,22131,静岡県,浜松市中区,龍禅寺町,浜松,12,３ＬＤＫ,55,,,,平成3年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2014年第１四半期,未改装,,6.845098040014257
22011433,中古マンション等,,22131,静岡県,浜松市中区,野口町,浜松,21,,70,,,,平成4年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2015年第４四半期,未改装,,6.99563519459755
22005469,中古マンション等,,22102,静岡県,静岡市駿河区,馬渕,静岡,10,３ＬＤＫ,95,,,,平成19年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2015年第３四半期,未改装,,7.5910646070264995
22005057,中古マンション等,,22102,静岡県,静岡市駿河区,西中原,静岡,28,３ＬＤＫ,75,,,,平成3年,ＲＣ,,住宅,,,,工業地域,60.0,200.0,2019年第２四半期,,,6.9344984512435675
22022180,中古マンション等,,22203,静岡県,沼津市,新宿町,沼津,6,３ＬＤＫ,70,,,,平成10年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第１四半期,未改装,,7.204119982655925
